address,chain_id,owner,token_id,token_uri,contract_type
0x7c5eDb11A7124851388b8f07B1f3Ff86E1915d9f,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,96311441258657437689130772005733074325708402510863132526736012112180224720897,bafkreihbf7ykaqqqvf73h6vmmnpf6no5izdgimfnawmfv,ERC1155
0x77F7A099e1feb312907Fd75092165b463E61801c,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,0,bafkreidcyxtcakmub77svcxdn4irn4fr4k32xcmrk4a6c,ERC1155
0x7780cBf945e2f949ef0E2f4Fe66e36ec512740A2,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,0,QmWwruTY7zQ5HJzi8pffjURZEpdrinQ2KjH7e2sLkDSmVq,ERC1155
0x75843f386a84ba8DF6e3C248De689A8766dD770e,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,0,QmUT74EEETQnEnbVhuFchV5cwPJUJCWJdKTmJT43ntcDxy,ERC1155
0x60a02D886c9Ae546446054954194F70F5f3c6224,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,2590,Qmf3LeWAK8t2gYtGgjJVcYoxSBaJy9TSjohmU6WnGqWT7v,ERC721
0x5ab9cF8CC731770dF7cD11f9A2e7b25dD3dFE3E9,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,1,QmRBoSwitiZo8crcC8ydDswqKBXw3JDXvrih96d44YNv5s,ERC1155
0x44f695431334F21DC30190d8834cb4F06dea74f1,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,17150503615540783225133921450532432304401155637971885465850156398468264886273,bafkreihorthyo4a7fztwrvr4ak3rbkqvft2r5hr3v36aw,ERC1155
0x4184E24969fed51Dce866e2Fd5fC5dEDD8597F39,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,91887,QmaQs1nGJYuK2XjoP8AiviPrFJ4btn8RVa2CXyCsQEDEak,ERC1155
0x40ECE0838e1ef37F6Ba7bAD1D8E8C0b8363b61E8,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,0,QmeARd5Ttz88ik6SYvnUuBuj1YN9HhDiSkkZBwN8hfcK4R,ERC1155
0x3D8f58Dffa3042Ec0771Ce98393FFbD3a1d5E05A,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,3049,Qmab76TZqH3ecSQyjQagt1inLcD4DL1ptfJgdtW8Dn9byr,ERC721
0x3D085869f5d0AE1f5De932e40B2397A75f1eD2a7,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,8557,QmUWoeB5LCcd86GBaRsjZSmYEPYoD4z9zgUu1SX4rfAWLb,ERC1155
0x315385c281d0e8c46E70116cbC0dB82aa8b7Eddf,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,0,QmaYH1LfnGQEU5RmZcumTjPZyFniMmJohHqvsjRtxfrn2X,ERC1155
0x300F3F7956B95B30bFb49e4D4026EBe4F7e573f3,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,1,bafybeic4z3x7phpftawo3v6gsu6nhfa2dhia7s6drzx3g,ERC1155
0x2C354878eBdCe34733D1a6526aE4d22014Cd3AB8,137,0x7eD1E469fCb3EE19C0366D829e291451bE638E59,0,QmaAzFW7H3UyRL7ZSrUsUtbmZ7p9gMp2RwxpjtP76RsKC3,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,7183,QmRHU1btrwXrsSXPtHXRCi1XADBBHA91k5hX8xrvGSYps5,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,7077,QmQEoSoPSjmUED3ZVZRTdCK4DWc8rxy64MMqRhcfoAB2SW,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6694,QmXCJSxLXke6EMwfq6p9d2AXfLKVouKLYbe3STCjcV9S8x,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6071,QmaG62pAA5LiSmCQYXMrJcuafZd77mMLHZYhVG28SHfy3w,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6069,QmWFyXFYAT2RbGM388Zr65ffz7gA1JApViDxwQSLRxeA3q,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6067,QmYBheSgYMX17m7K1BH8ktvbpZwcoCjBUeaB6EEJZrkm7q,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6065,QmTBT1tfvc6FeTptmw555s2HffNbWbTB22Ls4ffQmPGrzi,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6063,QmdDxFYaUybEd78tnG9aquQC3T4dvZwdm2tVZctDra4QSv,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6062,QmRweAptwfenm49XEZ55STsRqFuptDSfgo867TLmQGFiVB,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6061,QmeXyiUQGYWBjhuj6wGGtGf1aCAq2XZgBKa1VhVSPs8qHx,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6060,QmeURdrjXXTnUkynnJnSJoSXHuEFufMwNCQgrM4Phuv8dJ,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6059,QmSboPLJ6RDJqqVqTFBXHUKP9XfLiVi2KZ32PYtDSmS9WB,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6058,QmdQzwhPT9GQkL7EXyrwUhAin4sQDcBnZFup97mxkXAh2x,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6056,Qmc4xZDDd7aoiU3dTRk7HDq8GRnMYj53jnpSPft4irofE9,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,6053,Qmds9NZtprwJgECBVkptrrszPR5uiJxfzJoCh5mARz3Coz,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,5911,QmUV8reBuCWsejJAh6nUMvEWwzxZmKYH6T4t7pCpFcTiRB,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,5908,QmYChejgzupLYf4yiSyVPtJH38VaDyojq4Srcqpj6pmVwP,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,5906,QmS43GVBn27zbovYbnGQo9aX7WAqDzC57biMyAwS2kg2D3,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,5903,QmVyF5s2NHUhkrCSVjuRtx6uiZVeqoqWUFHeqM7pz28qdQ,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,5756,QmWHGBcniZDhqDwEHZiEHogRAh4HwEKHCXhusfwSugkbTP,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,4058,Qmeb84fWfCoktjvR5zKQpRUKzhi3tLjHciEnM4pthuaW1J,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,4047,QmRJjG5LippPnd9kkC3QSBpK1c6BT2cs4cQ38BdvqSdxFE,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,4041,QmQqtvc5H9JR9uTdK3Rdqx911mxYP2gBZSzP3ajvT5bV9U,ERC1155
0x13a732046142024627F69325A038f26AF0629495,137,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,4034,QmZocdVmmX7GYHwkDEDQgAfLNPXwGB6fUD1XGQ7qwqJsLz,ERC1155
0xE7b4eEFd69A7BBaE49e5444E9De4D86005059e51,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,1,bafybeidmhzxhsszzodefzd2iyc5rwcpbabmun6pfn2tz4,ERC1155
0xDfb413474b914900e1485058085539DB9DC74203,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,1,bafybeignlpz6zziszs4lpffrh5qbnvmzdbjc3p46i42k4,ERC1155
0xB18EE3052446fA881Da14eA82BdB455Ea05eC5c5,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,1,bafybeib7yaizqdrcgeop6gdlp3us6a3dwb7wzxgwdvtth,ERC1155
0xb1208cDA96634dbc9e2146CBaC18EF0A491a7a18,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,6836,bafybeigwlok4zqtbnia3zx7vlcwog5trxd2i3ytxamgqr,ERC1155
0xA1b42b18A353D40559EFfF28DA7889Ef11Be8915,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,7228,bafybeig7q3ogrgcskbmifgk4skxix6s5cjyalg6ivbauv,ERC1155
0x97F48EAE0BdBaFCF4F6a55A11D5A5E5B94cbce0A,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,1,QmULzQBJzBvjCEnD43pjuppUav7bhBfZKz6P99JcF51wtk,ERC1155
0x756387c649DBfC46AD68190aF0030A8a4f353Cb5,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,3670,bafybeigc6bet7gnea3o2pxpo4pv35z76uwixk4f32dgx5,ERC1155
0x3dc253Ca42497d6E5c389c5B928E306Ebc6725E3,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,369,bafybeibg7xppcmvvlcau3nhrdmoyp3gawssofvlfc5o7m,ERC1155
